QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,119724,119724,12381197
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,12016,12016,1292495
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
afddbd311059b071,783,783,103582
afddbd311059b071,25,25,10687
afddbd311059b071,25,25,10687
1aacb107fdbf7fbf,150000,150000,326110
1aacb107fdbf7fbf,1500000,1500000,2282348
d21ed09f3404b929,10000,10000,19976
d21ed09f3404b929,1,1,4121
d21ed09f3404b929,5,5,5797
d21ed09f3404b929,29904,29904,2924649
d21ed09f3404b929,1276,1276,7264
d21ed09f3404b929,38159,38159,9837976
d21ed09f3404b929,1276,1276,7264
d21ed09f3404b929,11646,11646,2905441
d21ed09f3404b929,1276,1276,7264
d21ed09f3404b929,38159,38159,9837976
d21ed09f3404b929,1276,1276,7264
d21ed09f3404b929,25,25,7963
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,812,812,106724
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,122161,122161,12641722
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12063,12063,3175604
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,122161,122161,12641722
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,812,812,106724
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,812,812,106724
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,122161,122161,12641722
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12063,12063,3175604
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,122161,122161,12641722
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,12185,12185,1309468
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
bc962ef422efc295,812,812,106724
bc962ef422efc295,25,25,9220
bc962ef422efc295,25,25,9220
c939bfc65c2f7df4,227783,227783,32827
c939bfc65c2f7df4,227783,227783,32827
c939bfc65c2f7df4,1,1,9779
c939bfc65c2f7df4,5,5,6495
